seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1638,1638,0,rejected,assert_connectivity,60.000000,1,6.600000,2.856571,0.000000,11.000000,10.520000,5.060593,47.040000,6.720000,0,0,68.308886
1626,1626,0,accepted,none,0.000000,1,6.240000,2.970253,2.000000,12.000000,7.040000,4.395270,49.000000,0.000000,50,0,58.146286
1639,1639,0,rejected,assert_connectivity,60.000000,1,5.680000,2.185772,1.000000,10.000000,6.760000,3.663659,40.000000,12.000000,0,0,61.220786
1631,1631,0,accepted,none,0.000000,1,5.480000,2.061456,1.000000,9.000000,7.000000,3.815757,49.000000,0.000000,50,0,72.257899
1640,1640,0,rejected,too_close,60.000000,1,5.640000,2.755068,1.000000,12.000000,6.800000,4.009988,49.000000,0.000000,50,0,63.111202
1630,1630,0,accepted,none,0.000000,1,5.680000,2.318965,2.000000,10.000000,7.000000,3.352611,49.000000,0.000000,50,0,67.780908
1632,1632,0,accepted,none,0.000000,1,5.440000,2.376215,1.000000,9.000000,5.720000,2.856851,49.000000,0.000000,50,0,72.825852
1634,1634,0,accepted,none,0.000000,1,5.440000,1.856448,2.000000,9.000000,7.240000,3.597555,49.000000,0.000000,50,0,66.492393
1641,1641,0,rejected,assert_connectivity,60.000000,1,6.000000,3.720215,0.000000,14.000000,7.960000,4.560526,38.240000,12.900481,0,0,72.821002
1646,1646,0,rejected,assert_connectivity,60.000000,1,7.720000,4.166725,0.000000,16.000000,10.640000,5.736759,47.040000,6.720000,0,0,60.196382
1648,1648,0,rejected,too_close,60.000000,1,5.880000,2.303389,2.000000,10.000000,7.720000,3.376626,49.000000,0.000000,50,0,63.470812
1637,1637,0,accepted,none,0.000000,1,5.600000,2.683282,1.000000,12.000000,7.320000,3.797051,49.000000,0.000000,50,0,65.504240
1650,1650,0,rejected,too_close,60.000000,1,6.480000,2.435077,2.000000,13.000000,8.080000,3.953935,49.000000,0.000000,50,0,65.735081
1651,1651,0,rejected,assert_connectivity,60.000000,1,5.320000,2.656614,1.000000,11.000000,7.040000,3.903639,45.160000,9.014122,0,0,66.615929
1642,1642,0,accepted,none,0.000000,1,5.840000,2.369473,2.000000,12.000000,7.000000,4.223742,49.000000,0.000000,50,0,57.619199
1644,1644,0,accepted,none,0.000000,1,6.560000,2.608908,1.000000,11.000000,6.720000,3.292659,49.000000,0.000000,50,0,63.460373
1652,1652,0,rejected,too_close,60.000000,1,6.120000,2.964051,1.000000,10.000000,8.760000,3.977738,49.000000,0.000000,50,0,81.003449
