seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
33,33,0,rejected,assert_connectivity,60.000000,1,5.440000,2.255305,2.000000,10.000000,5.960000,3.504055,41.640000,11.394314,0,0,62.097532
34,34,0,rejected,assert_connectivity,60.000000,1,6.200000,3.206244,0.000000,13.000000,7.680000,4.211603,43.280000,10.766689,0,0,65.010611
36,36,0,rejected,assert_connectivity,60.000000,1,5.520000,2.325855,0.000000,10.000000,6.640000,3.553927,47.040000,6.720000,0,0,64.198608
37,37,0,rejected,assert_connectivity,60.000000,1,6.320000,3.114097,0.000000,13.000000,7.720000,3.815966,47.040000,6.720000,0,0,69.200593
38,38,0,rejected,assert_connectivity,60.000000,1,6.320000,3.775924,1.000000,14.000000,8.520000,5.235418,34.760000,14.303230,0,0,61.005326
18,18,0,accepted,none,0.000000,1,6.800000,3.046309,1.000000,13.000000,9.760000,4.072149,49.000000,0.000000,50,0,52.704149
39,39,0,rejected,assert_connectivity,60.000000,1,5.720000,2.835771,2.000000,12.000000,6.760000,3.886181,43.360000,10.449421,0,0,54.549577
40,40,0,rejected,assert_connectivity,60.000000,1,6.200000,2.856571,0.000000,12.000000,7.480000,3.689119,47.040000,6.720000,0,0,71.156393
41,41,0,rejected,assert_connectivity,60.000000,1,5.840000,2.516823,0.000000,11.000000,8.080000,3.814918,47.040000,6.720000,0,0,66.974039
44,44,0,rejected,too_close,60.000000,1,6.320000,2.935575,1.000000,12.000000,9.560000,4.459417,49.000000,0.000000,50,0,70.877896
24,24,0,accepted,none,0.000000,1,5.640000,2.287007,2.000000,10.000000,7.080000,3.260920,49.000000,0.000000,50,0,69.415490
28,28,0,accepted,none,0.000000,1,5.040000,1.720000,2.000000,9.000000,6.920000,3.097354,49.000000,0.000000,50,0,64.280876
46,46,0,rejected,assert_connectivity,60.000000,1,7.960000,3.649438,1.000000,13.000000,8.160000,5.304187,29.680000,13.088071,0,0,68.962505
48,48,0,rejected,assert_connectivity,60.000000,1,6.080000,2.504716,1.000000,11.000000,5.880000,3.326500,40.000000,12.000000,0,0,56.377756
35,35,0,accepted,none,0.000000,1,5.440000,1.790642,1.000000,9.000000,7.240000,3.403293,49.000000,0.000000,50,0,68.442699
31,31,0,accepted,none,0.000000,1,6.280000,2.623280,1.000000,12.000000,9.240000,3.728592,49.000000,0.000000,50,0,64.259098
